"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Horwitz, Spencer",687462,"TOR","SI","Sinker",-0.5,-1,"254",16.1,"59","0.24","0.34","0.312",16.8,15.3,15,"0.284","0.423","0.348",37.2
"Sosa, Edmundo",624641,"PHI","SI","Sinker",4.6,9,"198",18.9,"59","0.365","0.577","0.45",22.5,11.9,17.9,"0.334","0.53","0.406",58.7
"Pederson, Joc",592626,"AZ","SI","Sinker",1.7,4,"235",13,"59","0.286","0.5","0.417",16.5,20.3,20.3,"0.389","0.663","0.511",62.5
"Siani, Michael",672279,"STL","SI","Sinker",-2.6,-5,"201",15.6,"59","0.208","0.245","0.235",21.6,20.3,24,"0.202","0.251","0.234",14
"Polanco, Jorge",593871,"SEA","SI","Sinker",0.3,1,"223",11.5,"58","0.321","0.528","0.409",17.1,10.3,14,"0.363","0.571","0.428",42.6
"Candelario, Jeimer",600869,"CIN","SI","Sinker",-2,-4,"178",10,"58","0.286","0.411","0.316",11.5,17.2,21.7,"0.307","0.512","0.362",45.7
"Smith, Dominic",642086,"CIN","SI","Sinker",-3,-7,"222",18.3,"58","0.216","0.294","0.279",15.6,25.9,28.3,"0.239","0.346","0.306",50
"Friedl, TJ",670770,"CIN","SI","Sinker",-1.9,-4,"201",15.6,"58","0.25","0.288","0.29",8,13.8,17.4,"0.306","0.362","0.332",33.3
"Mullins, Cedric",656775,"BAL","SI","Sinker",-0.5,-1,"227",11.7,"58","0.275","0.431","0.354",9.7,6.9,8.2,"0.326","0.456","0.372",31.3
"Vargas, Ildemaro",545121,"WSH","SI","Sinker",1.1,2,"203",19.2,"58","0.294","0.373","0.341",3.3,3.4,5.9,"0.273","0.338","0.319",44.9
"Taylor, Tyrone",621438,"NYM","SI","Sinker",1.7,4,"217",16.4,"58","0.327","0.509","0.391",12.4,17.2,19.6,"0.362","0.566","0.415",55.6
"Murphy, Sean",669221,"ATL","SI","Sinker",-2.4,-5,"223",20.9,"57","0.2","0.34","0.304",14.6,15.8,18.4,"0.246","0.403","0.33",34.1
"Wells, Austin",669224,"NYY","SI","Sinker",2.1,4,"193",11.8,"57","0.267","0.511","0.406",11.9,10.5,14.6,"0.246","0.418","0.372",41
"Rocchio, Brayan",677587,"CLE","SI","Sinker",-2,-4,"181",10.8,"57","0.267","0.356","0.337",8.8,7,15.4,"0.271","0.359","0.344",32.6
"Abreu, Wilyer",677800,"BOS","SI","Sinker",3.1,7,"213",11.8,"57","0.408","0.796","0.545",13.3,10.5,12.8,"0.42","0.789","0.541",60.5
"Flores, Wilmer",527038,"SF","SI","Sinker",0,0,"209",21.7,"57","0.286","0.449","0.346",1.1,7,8.9,"0.303","0.465","0.378",38.3
"Isbel, Kyle",664728,"KC","SI","Sinker",0.5,1,"195",12.3,"57","0.3","0.52","0.393",5.9,10.5,12.8,"0.278","0.422","0.346",53.3
"Kepler, Max",596146,"MIN","SI","Sinker",-2.3,-5,"216",14.4,"56","0.25","0.288","0.293",18,16.1,19.6,"0.3","0.395","0.33",46.5
"Margot, Manuel",622534,"MIN","SI","Sinker",-3.7,-6,"174",13.3,"56","0.226","0.264","0.247",13.1,10.7,22.2,"0.274","0.424","0.321",38.3
"Crow-Armstrong, Pete",691718,"CHC","SI","Sinker",-0.9,-2,"197",13.9,"56","0.283","0.377","0.283",21.7,17.9,27,"0.281","0.398","0.297",39.1
"Massey, Michael",686681,"KC","SI","Sinker",-0.9,-1,"163",12.3,"56","0.314","0.431","0.355",5.2,8.9,12.8,"0.272","0.399","0.328",47.9
"Herrera, Iván",671056,"STL","SI","Sinker",0,0,"223",21.5,"56","0.353","0.49","0.396",13.4,16.1,17.6,"0.301","0.453","0.359",42.9
"Yepez, Juan",660766,"WSH","SI","Sinker",-1.5,-3,"208",21.5,"56","0.314","0.373","0.326",12.1,8.9,12.2,"0.316","0.39","0.339",42.6
"Bailey, Patrick",672275,"SF","SI","Sinker",-0.5,-1,"204",11.4,"56","0.205","0.227","0.301",9.2,8.9,10.9,"0.299","0.393","0.384",48.7
"Newman, Kevin",621028,"AZ","SI","Sinker",0.5,1,"198",18.5,"55","0.354","0.479","0.386",8.2,5.5,9.7,"0.314","0.402","0.325",30.6
"Taylor, Michael A.",572191,"PIT","SI","Sinker",1.5,3,"218",18.1,"55","0.304","0.478","0.4",18.6,18.2,22.7,"0.306","0.511","0.414",37.8
"Duran, Ezequiel",677649,"TEX","SI","Sinker",-1.3,-3,"187",18.5,"55","0.196","0.255","0.266",10.4,16.4,22,"0.198","0.267","0.24",28.6
"Brown, Seth",664913,"OAK","SI","Sinker",-1.9,-3,"141",9.1,"53","0.255","0.34","0.327",17.1,17,24.3,"0.274","0.387","0.332",42.1
"Vargas, Miguel",678246,"CWS","SI","Sinker",-3,-6,"184",18.2,"53","0.128","0.277","0.25",13.6,17,25,"0.208","0.337","0.28",38.5
"Iglesias, Jose",578428,"NYM","SI","Sinker",2,4,"197",18.3,"53","0.42","0.6","0.474",7.6,13.2,17.5,"0.352","0.494","0.385",51.2
"Nevin, Tyler",663527,"OAK","SI","Sinker",0.7,1,"181",16.6,"53","0.31","0.476","0.425",13.9,7.5,11.8,"0.325","0.466","0.406",51.3
"Edwards, Xavier",669364,"MIA","SI","Sinker",3,6,"188",15.9,"52","0.452","0.571","0.503",15.1,15.4,14.5,"0.303","0.376","0.367",34.3
"Gorman, Nolan",669357,"STL","SI","Sinker",0.3,1,"207",13,"52","0.262","0.5","0.395",23.7,17.3,19.6,"0.313","0.603","0.447",42.4
"Rizzo, Anthony",519203,"NYY","SI","Sinker",-1.6,-3,"207",14.5,"52","0.222","0.289","0.288",7,5.8,8.8,"0.262","0.351","0.325",33.3
"Albies, Ozzie",645277,"ATL","SI","Sinker",-0.6,-1,"206",12.5,"52","0.239","0.37","0.291",18.3,7.7,9.5,"0.256","0.427","0.329",43.2
"Senzel, Nick",669222,"CWS","SI","Sinker",-2.4,-5,"196",19.5,"51","0.208","0.354","0.259",9.8,23.5,26.7,"0.216","0.357","0.265",24.3
"Sánchez, Gary",596142,"MIL","SI","Sinker",2.1,4,"212",18.3,"51","0.326","0.744","0.504",16.7,15.7,20.5,"0.274","0.613","0.425",48.6
"Hamilton, David",666152,"BOS","SI","Sinker",2.4,4,"163",13.7,"51","0.319","0.447","0.414",12.2,7.8,11.8,"0.318","0.422","0.351",32.6
"Palacios, Richie",680700,"TB","SI","Sinker",2.9,5,"184",14.4,"50","0.395","0.526","0.474",8.5,12,14.3,"0.375","0.506","0.46",34.4
"Martin, Austin",668885,"MIN","SI","Sinker",-0.2,0,"160",17.1,"50","0.283","0.326","0.304",13,8,13.8,"0.302","0.372","0.326",42.9
"Wade Jr., LaMonte",664774,"SF","SI","Sinker",0.9,1,"156",9.5,"50","0.361","0.528","0.469",12.3,16,20.5,"0.361","0.559","0.476",51.7
"Toglia, Michael",669911,"COL","SI","Sinker",2.9,4,"153",8,"50","0.409","0.841","0.532",12.9,12,22.2,"0.364","0.702","0.47",59
